manufacture_year,make,model,trim,body_type,transmission,vin,state,condition_score,odometer,exterior_color,interior_color,seller,mmr,selling_price,original_saledate,sale_date,sale_year,sale_month,sale_quarter,sale_day_name,sale_day_of_week,profit,profit_margin_pct,margin_tier,price_category,mileage_category,condition_category,vehicle_age,age_category,units_sold,total_revenue,total_profit,avg_price,avg_margin
2015,KIA,SORENTO,LX,SUV,AUTOMATIC,5xyktca69fg566472,CA,5,16639,WHITE,BLACK,kia motors america  inc,20500,21500,Tue Dec 16 2014 12:30:00,2014-12-16,2014,12,4,Tuesday,3,1000,4.88,Low Margin (0-5%),Mid-Range ($20k-$30k),Very Low Mileage (<25k),Excellent (4.5+),-1,New (0-1 yrs),245,3030750,-11675,12370.408163265307,-0.23994585521112619
2015,KIA,SORENTO,LX,SUV,AUTOMATIC,5xyktca69fg561319,CA,5,9393,WHITE,BEIGE,kia motors america  inc,20800,21500,Tue Dec 16 2014 12:30:00,2014-12-16,2014,12,4,Tuesday,3,700,3.37,Low Margin (0-5%),Mid-Range ($20k-$30k),Very Low Mileage (<25k),Excellent (4.5+),-1,New (0-1 yrs),245,3030750,-11675,12370.408163265307,-0.23994585521112619
2014,BMW,3 SERIES,328i SULEV,SEDAN,AUTOMATIC,wba3c1c51ek116351,CA,45,1331,GRAY,BLACK,financial services remarketing (lease),31900,30000,Thu Jan 15 2015 04:30:00,2015-01-15,2015,1,1,Thursday,5,-1900,-5.96,Negative Margin (Loss),Premium ($30k-$50k),Very Low Mileage (<25k),Excellent (4.5+),1,New (0-1 yrs),7319,124597670,-801505,17023.865282142368,0.01942158579106897
2015,VOLVO,S60,T5,SEDAN,AUTOMATIC,yv1612tb4f1310987,CA,41,14282,WHITE,BLACK,volvo na rep/world omni,27500,27750,Thu Jan 29 2015 04:30:00,2015-01-29,2015,1,1,Thursday,5,250,0.91,Low Margin (0-5%),Mid-Range ($20k-$30k),Very Low Mileage (<25k),Excellent (4.5+),0,New (0-1 yrs),1046,14647275,-139075,14003.130975143404,-0.7231051987293332
2014,BMW,6 SERIES GRAN COUPE,650i,SEDAN,AUTOMATIC,wba6b2c57ed129731,CA,43,2641,GRAY,BLACK,financial services remarketing (lease),66000,67000,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,1000,1.52,Low Margin (0-5%),Luxury ($50k+),Very Low Mileage (<25k),Excellent (4.5+),0,New (0-1 yrs),15,955502,-38498,63700.13333333333,-3.865270980148773
2015,NISSAN,ALTIMA,2.5 S,SEDAN,AUTOMATIC,1n4al3ap1fn326013,CA,1,5554,GRAY,BLACK,enterprise vehicle exchange / tra / rental / tulsa,15350,10900,Tue Dec 30 2014 12:00:00,2014-12-30,2014,12,4,Tuesday,3,-4450,-28.99,Negative Margin (Loss),Economy ($10k-$20k),Very Low Mileage (<25k),Poor (<2.0),-1,New (0-1 yrs),1590,16579304,-458271,10427.235220125785,-2.1463804455238074
2014,BMW,M5,Base,SEDAN,AUTOMATIC,wbsfv9c51ed593089,CA,34,14943,BLACK,BLACK,the hertz corporation,69000,65000,Wed Dec 17 2014 12:30:00,2014-12-17,2014,12,4,Wednesday,4,-4000,-5.8,Negative Margin (Loss),Luxury ($50k+),Very Low Mileage (<25k),Excellent (4.5+),0,New (0-1 yrs),9,478853,-53097,53205.88888888889,-8.94651658185279
2014,CHEVROLET,CRUZE,1LT,SEDAN,AUTOMATIC,1g1pc5sb2e7128460,CA,2,28617,BLACK,BLACK,enterprise vehicle exchange / tra / rental / tulsa,11900,9800,Tue Dec 16 2014 13:00:00,2014-12-16,2014,12,4,Tuesday,3,-2100,-17.65,Negative Margin (Loss),Budget (<$10k),Low Mileage (25k-50k),Fair (2.0-2.9),0,New (0-1 yrs),442,4369375,-221650,9885.463800904978,-4.4048602118620686
2014,AUDI,A4,2.0T Premium Plus quattro,SEDAN,AUTOMATIC,wauffafl3en030343,CA,42,9557,WHITE,BLACK,audi mission viejo,32100,32250,Thu Dec 18 2014 12:00:00,2014-12-18,2014,12,4,Thursday,5,150,0.47,Low Margin (0-5%),Premium ($30k-$50k),Very Low Mileage (<25k),Excellent (4.5+),0,New (0-1 yrs),238,2220750,-44250,9330.882352941177,-3.171323699464785
2014,CHEVROLET,CAMARO,LT,CONVERTIBLE,AUTOMATIC,2g1fb3d37e9218789,CA,3,4809,RED,BLACK,d/m auto sales inc,26300,17500,Tue Jan 20 2015 04:00:00,2015-01-20,2015,1,1,Tuesday,3,-8800,-33.46,Negative Margin (Loss),Economy ($10k-$20k),Very Low Mileage (<25k),Good (3.0-3.9),1,New (0-1 yrs),1778,34745655,-327245,19541.98818897638,-0.6816677482750525
2014,AUDI,A6,3.0T Prestige quattro,SEDAN,AUTOMATIC,wauhgafc0en062916,CA,48,14414,BLACK,BLACK,desert auto trade,47300,49750,Tue Dec 16 2014 12:30:00,2014-12-16,2014,12,4,Tuesday,3,2450,5.18,Medium Margin (5-15%),Premium ($30k-$50k),Very Low Mileage (<25k),Excellent (4.5+),0,New (0-1 yrs),88,1460400,18725,16595.454545454544,7.652052329881997
2015,KIA,OPTIMA,LX,SEDAN,AUTOMATIC,5xxgm4a73fg353538,CA,48,2034,RED,TAN,kia motors finance,15150,17700,Tue Dec 16 2014 12:00:00,2014-12-16,2014,12,4,Tuesday,3,2550,16.83,High Margin (15%+),Economy ($10k-$20k),Very Low Mileage (<25k),Excellent (4.5+),-1,New (0-1 yrs),319,4026350,-105500,12621.7868338558,5.013764105421653
2015,FORD,FUSION,SE,SEDAN,AUTOMATIC,3fa6p0hdxfr145753,CA,2,5559,WHITE,BEIGE,enterprise vehicle exchange / tra / rental / tulsa,15350,12000,Tue Jan 13 2015 12:00:00,2015-01-13,2015,1,1,Tuesday,3,-3350,-21.82,Negative Margin (Loss),Economy ($10k-$20k),Very Low Mileage (<25k),Fair (2.0-2.9),0,New (0-1 yrs),12165,151605170,-2400005,12462.406083025073,-1.4189261940902638
2015,KIA,SORENTO,LX,SUV,AUTOMATIC,5xyktca66fg561407,CA,5,14634,SILVER,BLACK,kia motors america  inc,20600,21500,Tue Dec 16 2014 12:30:00,2014-12-16,2014,12,4,Tuesday,3,900,4.37,Low Margin (0-5%),Mid-Range ($20k-$30k),Very Low Mileage (<25k),Excellent (4.5+),-1,New (0-1 yrs),245,3030750,-11675,12370.408163265307,-0.23994585521112619
2014,CHEVROLET,CRUZE,2LT,SEDAN,AUTOMATIC,1g1pe5sbxe7120097,CA,0,15686,BLUE,BLACK,avis rac/san leandro,13900,10600,Tue Dec 16 2014 12:00:00,2014-12-16,2014,12,4,Tuesday,3,-3300,-23.74,Negative Margin (Loss),Economy ($10k-$20k),Very Low Mileage (<25k),Unknown,0,New (0-1 yrs),442,4369375,-221650,9885.463800904978,-4.4048602118620686
2015,NISSAN,ALTIMA,2.5 S,SEDAN,AUTOMATIC,1n4al3ap5fc124223,CA,2,11398,BLACK,BLACK,enterprise vehicle exchange / tra / rental / tulsa,14750,14100,Tue Dec 23 2014 12:00:00,2014-12-23,2014,12,4,Tuesday,3,-650,-4.41,Negative Margin (Loss),Economy ($10k-$20k),Very Low Mileage (<25k),Fair (2.0-2.9),-1,New (0-1 yrs),1590,16579304,-458271,10427.235220125785,-2.1463804455238074
2015,HYUNDAI,SONATA,SE,SEDAN,AUTOMATIC,5npe24af4fh001562,CA,0,8311,RED,—,avis tra,15200,4200,Tue Dec 16 2014 13:00:00,2014-12-16,2014,12,4,Tuesday,3,-11000,-72.37,Negative Margin (Loss),Budget (<$10k),Very Low Mileage (<25k),Unknown,-1,New (0-1 yrs),663,6731026,-242149,10152.377073906486,-3.8961010904564066
2014,AUDI,Q5,2.0T Premium Plus quattro,SUV,AUTOMATIC,wa1lfafpxea085074,CA,49,7983,WHITE,BLACK,audi north scottsdale,37100,40000,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,2900,7.82,Medium Margin (5-15%),Premium ($30k-$50k),Very Low Mileage (<25k),Excellent (4.5+),0,New (0-1 yrs),37,962800,500,26021.62162162162,0.04459832762390341
2014,CHEVROLET,CAMARO,LS,COUPE,AUTOMATIC,2g1fa1e39e9134494,CA,17,13441,BLACK,BLACK,wells fargo dealer services,17750,17000,Tue Dec 30 2014 15:00:00,2014-12-30,2014,12,4,Tuesday,3,-750,-4.23,Negative Margin (Loss),Economy ($10k-$20k),Very Low Mileage (<25k),Excellent (4.5+),0,New (0-1 yrs),172,2955850,-133100,17185.174418604653,-3.168870199444628
2014,BMW,6 SERIES,650i,CONVERTIBLE,AUTOMATIC,wbayp9c53ed169260,CA,34,8819,BLACK,BLACK,the hertz corporation,68000,67200,Wed Dec 17 2014 12:30:00,2014-12-17,2014,12,4,Wednesday,4,-800,-1.18,Negative Margin (Loss),Luxury ($50k+),Very Low Mileage (<25k),Excellent (4.5+),0,New (0-1 yrs),57,2078000,1925,36456.14035087719,-0.33577298250340776
2015,CHEVROLET,IMPALA,LTZ,SEDAN,AUTOMATIC,2g1165s30f9103921,CA,19,14538,SILVER,BLACK,enterprise vehicle exchange / tra / rental / tulsa,24300,7200,Tue Jul 07 2015 09:30:00,2015-07-07,2015,7,3,Tuesday,3,-17100,-70.37,Negative Margin (Loss),Budget (<$10k),Very Low Mileage (<25k),Excellent (4.5+),0,New (0-1 yrs),7162,58983359,-1674566,8235.598855068416,-2.7357396056307097
2014,BMW,5 SERIES,528i,SEDAN,AUTOMATIC,wba5a5c51ed501631,CA,29,25969,BLACK,BLACK,financial services remarketing (lease),34200,30000,Tue Feb 03 2015 04:30:00,2015-02-03,2015,2,1,Tuesday,3,-4200,-12.28,Negative Margin (Loss),Premium ($30k-$50k),Low Mileage (25k-50k),Excellent (4.5+),1,New (0-1 yrs),3805,81991350,-613050,21548.318002628122,-0.010091298892630447
2014,CHEVROLET,CAMARO,LT,CONVERTIBLE,AUTOMATIC,2g1fb3d31e9134662,CA,0,33450,BLACK,BLACK,avis rac/san leandro,20100,14700,Tue Dec 16 2014 12:00:00,2014-12-16,2014,12,4,Tuesday,3,-5400,-26.87,Negative Margin (Loss),Economy ($10k-$20k),Low Mileage (25k-50k),Unknown,0,New (0-1 yrs),172,2955850,-133100,17185.174418604653,-3.168870199444628
2015,AUDI,A3,1.8 TFSI Premium,SEDAN,AUTOMATIC,wauacgff7f1002327,CA,49,5826,GRAY,BLACK,audi north scottsdale,24000,23750,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,-250,-1.04,Negative Margin (Loss),Mid-Range ($20k-$30k),Very Low Mileage (<25k),Excellent (4.5+),-1,New (0-1 yrs),30,396800,-21950,13226.666666666666,-4.685016062249233
2014,BMW,6 SERIES,650i,CONVERTIBLE,AUTOMATIC,wbayp9c57ed169262,CA,38,10736,BLACK,BLACK,the hertz corporation,67000,65000,Tue Jan 06 2015 12:30:00,2015-01-06,2015,1,1,Tuesday,3,-2000,-2.99,Negative Margin (Loss),Luxury ($50k+),Very Low Mileage (<25k),Excellent (4.5+),1,New (0-1 yrs),619,20510325,-28075,33134.61227786753,-0.06626605956074723
